,values,ind
1,FMT106,ET-Firmicutes
2,FMT109,ET-Firmicutes
3,FMT110,ET-Firmicutes
4,FMT111,ET-Firmicutes
5,FMT112,ET-Firmicutes
6,FMT125,ET-Firmicutes
7,FMT126,ET-Firmicutes
8,FMT127,ET-Firmicutes
9,FMT128,ET-Firmicutes
10,FMT129,ET-Firmicutes
11,FMT130,ET-Firmicutes
12,FMT131,ET-Firmicutes
13,FMT141,ET-Firmicutes
14,FMT142,ET-Firmicutes
15,FMT143,ET-Firmicutes
16,FMT145,ET-Firmicutes
17,FMT146,ET-Firmicutes
18,FMT147,ET-Firmicutes
19,FMT149,ET-Firmicutes
20,FMT150,ET-Firmicutes
21,FMT151,ET-Firmicutes
22,FMT156,ET-Firmicutes
23,FMT157,ET-Firmicutes
24,FMT158,ET-Firmicutes
25,FMT159,ET-Firmicutes
26,FMT163,ET-Firmicutes
27,FMT184,ET-Firmicutes
28,FMT185,ET-Firmicutes
29,FMT186,ET-Firmicutes
30,FMT188,ET-Firmicutes
31,FMT189,ET-Firmicutes
32,FMT190,ET-Firmicutes
33,FMT191,ET-Firmicutes
34,FMT192,ET-Firmicutes
35,FMT193,ET-Firmicutes
36,FMT194,ET-Firmicutes
37,FMT195,ET-Firmicutes
38,FMT196,ET-Firmicutes
39,FMT201,ET-Firmicutes
40,FMT114,ET-Bacteroides
41,FMT115,ET-Bacteroides
42,FMT116,ET-Bacteroides
43,FMT117,ET-Bacteroides
44,FMT118,ET-Bacteroides
45,FMT123,ET-Bacteroides
46,FMT133,ET-Bacteroides
47,FMT134,ET-Bacteroides
48,FMT135,ET-Bacteroides
49,FMT152,ET-Bacteroides
50,FMT153,ET-Bacteroides
51,FMT154,ET-Bacteroides
52,FMT161,ET-Bacteroides
53,FMT165,ET-Bacteroides
54,FMT166,ET-Bacteroides
55,FMT167,ET-Bacteroides
56,FMT168,ET-Bacteroides
57,FMT169,ET-Bacteroides
58,FMT170,ET-Bacteroides
59,FMT171,ET-Bacteroides
60,FMT172,ET-Bacteroides
61,FMT173,ET-Bacteroides
62,FMT174,ET-Bacteroides
63,FMT175,ET-Bacteroides
64,FMT177,ET-Bacteroides
65,FMT178,ET-Bacteroides
66,FMT180,ET-Bacteroides
67,FMT181,ET-Bacteroides
68,FMT182,ET-Bacteroides
69,FMT183,ET-Bacteroides
70,FMT102,ET-Prevotella
71,FMT103,ET-Prevotella
72,FMT104,ET-Prevotella
73,FMT105,ET-Prevotella
74,FMT107,ET-Prevotella
75,FMT108,ET-Prevotella
76,FMT113,ET-Prevotella
77,FMT119,ET-Prevotella
78,FMT120,ET-Prevotella
79,FMT121,ET-Prevotella
80,FMT122,ET-Prevotella
81,FMT124,ET-Prevotella
82,FMT132,ET-Prevotella
83,FMT136,ET-Prevotella
84,FMT137,ET-Prevotella
85,FMT138,ET-Prevotella
86,FMT139,ET-Prevotella
87,FMT144,ET-Prevotella
88,FMT148,ET-Prevotella
89,FMT155,ET-Prevotella
90,FMT164,ET-Prevotella
