ARM,PC1,PC2
DONOR_d0,-0.20042958604505345,0.1046402867535099
DONOR_d0,-0.2022971843240634,-0.11118020796599563
DONOR_d0,-0.2111155291702319,-0.12053074805404022
DONOR_d0,-0.052402579142634506,-0.21362941533938012
DONOR_d0,-0.30588699707144706,0.0004009464407908924
DONOR_d0,-0.17665924934570948,-0.03040422375063956
DONOR_d0,-0.2761384997463315,-0.0019322807702644468
FMT_d0,0.16925194910868616,-0.2071650884413868
FMT_d0,0.17094263972469506,0.49181356456247466
FMT_d0,0.2007201956173898,-0.1927049230055219
FMT_d0,0.04127731353334847,0.3602811390973296
FMT_d0,0.3476388187665237,0.08648087446324322
FMT_d0,0.23200708320059135,0.045252633259600515
FMT_d0,-0.2794308336056117,0.05357788690422365
FMT_d0,0.3217052887626518,-0.0987736545770688
FMT_d0,-0.005807658604378158,0.2781530973144421
FMT_d0,0.25025004585136346,0.048624559951112575
FMT_d0,0.29582480050090687,0.16946504855156072
FMT_d0,-0.2535010605098766,0.08450846933952409
FMT_d30,0.19793736054334465,-0.2813721745239731
FMT_d30,-0.11454823952730663,0.01576380111895956
FMT_d30,-0.2677502374543106,0.06176196884417131
FMT_d30,0.4308014769694292,-0.19465869603826347
FMT_d30,0.25378698824762885,-0.23378658532800553
FMT_d30,-0.028587460261750984,-0.05618210028939544
FMT_d30,-0.15622966991869003,0.11344148396448599
FMT_d30,-0.020495184302085547,-0.15397995474178616
FMT_d30,-0.27173359544155545,0.10298079920625827
FMT_d30,0.17923091348309908,-0.1796035635830488
FMT_d30,0.11056676137375926,0.24157172289518503
FMT_d30,-0.151561354593864,-0.12256104447251437
FMT_d30,0.3251431248035155,0.04124028092433751
FMT_d30,0.24754853108616676,-0.21911715011195565
FMT_d7,-0.1263769185067549,0.04078988249142176
FMT_d7,0.345367219859494,-0.1352798834017866
FMT_d7,-0.0312569589435017,-0.14805903303261647
FMT_d7,-0.0003062264519946043,-0.18122981480550024
FMT_d7,0.23544922038715882,-0.19718677861024114
FMT_d7,0.17112893109836722,-0.2698015439040194
FMT_d7,-0.22048357043468156,0.08665396331151849
FMT_d7,0.1809733458633918,-0.27998764906111606
FMT_d7,-0.25573209950466613,0.07441288420176942
FMT_d7,-0.10704011945727429,0.0812757776838974
FMT_d7,-0.186984167804741,0.03579251631121371
FMT_d7,-0.2419113012962176,-0.03616371307319156
FMT_d7,0.4277608991916085,-0.1581858313702345
FMT_d7,0.19675547618092729,-0.2292403260783342
FMT_d7,0.1422461550442959,-0.1660029524866178
FMT_d90,-0.20269203913923411,-0.060343022852028916
FMT_d90,-0.06966816051854878,0.029221396424527018
FMT_d90,-0.27508036166166683,0.022930605992481472
FMT_d90,-0.190624680009353,0.02511274073750388
FMT_d90,-0.03989099840814587,-0.11109818279403422
FMT_d90,0.004647718209856202,0.3274836684861604
FMT_d90,0.11657776983482612,0.3766898622785059
FMT_d90,-0.135473102342788,-0.15825576230945412
FMT_d90,0.27931268934360726,-0.24152584134049607
FMT_d90,-0.06478806131229156,0.012054210091944758
FMT_d90,0.2802655324153793,-0.02590447593147282
FMT_d90,-0.26936634787139463,0.04434065270507917
FMT_d90,-0.28026933056445724,0.08574753656128378
FMT_d90,0.09618447078771641,0.08752838262136452
PLACEBO_d0,0.11253138996995835,0.4873850009613953
PLACEBO_d0,-0.16559143841724328,-0.10099100643083259
PLACEBO_d0,-0.24535676353089686,-0.08455535952682167
PLACEBO_d0,0.08132372192310512,-0.10157381207349517
PLACEBO_d0,-0.26529038818060074,0.023109188024616426
PLACEBO_d30,0.38569823548235554,0.2844038226175129
PLACEBO_d30,-0.2515677604948706,-0.06877665439613964
PLACEBO_d30,0.2083931340179941,0.2121282386949863
PLACEBO_d30,-0.272618500521071,0.04330619544375317
PLACEBO_d30,-0.1509508858763628,0.05470977917289095
PLACEBO_d30,-0.08076350858190763,-0.25484517464451395
PLACEBO_d7,-0.13303074036939497,-0.13791522577471346
PLACEBO_d7,-0.2505556534971151,0.029706038193289777
PLACEBO_d7,0.12231163778174652,0.5257314615643365
PLACEBO_d7,0.3595041166622365,0.2910996263448055
PLACEBO_d7,-0.2577495932703944,-0.10908715278690993
PLACEBO_d7,-0.031092972125312965,-0.037443126564973866
PLACEBO_d90,0.3561071172374418,0.015059997384738866
PLACEBO_d90,-0.2848805327176479,0.031101598229395833
PLACEBO_d90,0.40251843759198824,0.3176315070030192
PLACEBO_d90,-0.03458620146082856,-0.2563862032015885
PLACEBO_d90,-0.18313620812029835,0.022055240319750452
